Profile ID,Organization Name,Membership Level Name,Primary Listing Category,Profile County,Resolved County,Profile Zip Code,is_active,is_dup_by_address,is_additional_listing_tier,is_non_covered_category,is_in_county,is_tier_a,is_tier_b
1146,Reeves Construction Company,Economic Driver,Construction & Building Services,Bibb,Bibb,31211,True,False,False,False,True,True,True
1149,Residence Inn by Marriott,Basic Membership,Lodging & Venues,Bibb,Bibb,31210,True,False,False,False,True,True,True
1153,"Reynolds, Horne & Survant",Business Catalyst,Legal Services,Bibb,Bibb,31220,True,False,False,False,True,True,True
1156,River North Country Club,Business Catalyst,Country Clubs & Golf Courses,Bibb,Bibb,31211,True,False,False,False,True,True,True
1169,Robins Financial Credit Union,Community Advocate,Banking,Bibb,Bibb,31204,True,False,False,False,True,True,True
1181,Rutherford Trophies Inc.,Basic Membership,Shopping & Retail,Bibb,Bibb,31206,True,False,False,False,True,True,True
1186,Saddle Creek Corporation,Economic Driver,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31217,True,False,False,False,True,True,True
1187,St. Paul Apartments,Basic Membership,Retirement & Senior Living,Bibb,Bibb,31201,True,False,False,False,True,True,True
1200,SCANA Energy,Business Catalyst,Utilities & Internet Service Providers,,Unknown,30326,True,False,False,False,False,True,True
1202,Schell Acoustical & Drywall Company,Basic Membership,Construction & Building Services,Bibb,Bibb,31211,True,False,False,False,True,True,True
1208,"L. E. Schwartz & Son, Inc.",Community Advocate,Construction & Building Services,Bibb,Bibb,31206,True,True,False,False,True,True,True
1211,Huntington Bank,Key Stakeholder,Banking,Bibb,Bibb,31210,True,True,False,False,True,True,True
1213,Huntington Bank,Additional Listing - Cornerstone (Unpaid),Banking,Bibb,Bibb,31204,True,False,True,False,True,True,True
1214,Huntington Bank,Additional Listing - Cornerstone (Unpaid),Banking,Bibb,Bibb,31211,True,False,True,False,True,True,True
1215,Huntington Bank,Additional Listing - Cornerstone (Unpaid),Banking,Bibb,Bibb,31201,True,False,True,False,True,True,True
1216,Huntington Bank,Additional Listing - Cornerstone (Unpaid),Banking,Bibb,Bibb,31216,True,False,True,False,True,True,True
1228,Sheridan Construction,Leading Investor,Construction & Building Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
1231,"Sheridan, Solomon & Associates, LLC",Basic Membership,Real Estate,Bibb,Bibb,31204,True,False,False,False,True,True,True
1232,"Midtowne Mortgage, LLC",Basic Membership,Financial Services,Bibb,Bibb,31204,True,False,False,False,True,True,True
1244,Smiley's Flea Market,Basic Membership,Shopping & Retail,Bibb,Bibb,31206,True,False,False,False,True,True,True
1250,Snow's Memorial Chapel,Basic Membership,Funeral & Burial Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
1252,AT&T,Community Advocate,Utilities & Internet Service Providers,Bibb,Bibb,31201,True,False,False,False,True,True,True
1260,Southern Safety Supply Company,Basic Membership,Commercial Suppliers,Bibb,Bibb,31206,True,False,False,False,True,True,True
1261,Audio Visual Services,Basic Membership,Professional & Business Services,Bibb,Bibb,31206,True,False,False,False,True,True,True
1283,Stratford Academy,Community Advocate,Education,Bibb,Bibb,31220,True,False,False,False,True,True,True
1287,"Stone and Baxter, LLP",Basic Membership,Legal Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
1292,The Summit Group,Basic Membership,Real Estate,Bibb,Bibb,31210,True,False,False,False,True,True,True
1300,FusionPoint,Basic Membership,"Information Technology, Solutions & Repair",Bibb,Bibb,31220,True,False,False,False,True,True,True
1302,Tattnall Square Academy,Basic Membership,Education,Bibb,Bibb,31210,True,False,False,False,True,True,True
1307,"Dr. Larry V. Thigpen, D.D.S.",Basic Membership,Healthcare - Vascular & Interventional,Bibb,Bibb,31204,True,False,False,False,True,True,True
1308,Third Wave Digital,Basic Membership,Marketing & Media,Bibb,Bibb,31201,True,False,False,False,True,True,True
1310,Thornton Realty Company,Basic Membership,Real Estate,Bibb,Bibb,31201,True,False,False,False,True,True,True
1312,"Tidwell & Hilburn Insurance, Inc.",Basic Membership,Insurance,Bibb,Bibb,31210,True,False,False,False,True,True,True
1317,Trading Post Moving & Storage,Basic Membership,Moving & Storage,Bibb,Bibb,31206,True,True,False,False,True,True,True
1321,Tri-County E.M.C.,Business Catalyst,Utilities & Internet Service Providers,Bibb,Bibb,31032,True,False,False,False,True,True,True
1322,Triangle Chemical Company,Basic Membership,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31210,True,False,False,False,True,True,True
1330,"Truck and Trailer of Macon, Inc.",Basic Membership,Automotive,Bibb,Bibb,31216,True,False,False,False,True,True,True
1331,Truist Bank,Regional Influencer,Banking,Bibb,Bibb,31201,True,False,False,False,True,True,True
1333,Truist Bank,Additional Listing - Cornerstone (Unpaid),Banking,Bibb,Bibb,31204,True,False,True,False,True,True,True
1334,Truist Bank,Additional Listing - Cornerstone (Unpaid),Banking,Bibb,Bibb,31204,True,False,True,False,True,True,True
1336,Truist Bank,Additional Listing - Cornerstone (Unpaid),Banking,Bibb,Bibb,31210,True,False,True,False,True,True,True
1340,Truist Bank,Additional Listing - Cornerstone (Unpaid),Banking,Bibb,Bibb,31211,True,False,True,False,True,True,True
1341,Truist Bank,Additional Listing - Cornerstone (Unpaid),Banking,Bibb,Bibb,31206,True,False,True,False,True,True,True
1344,Tubman African American Museum,Basic Membership,"Arts, Entertainment & Attractions",Bibb,Bibb,31201,True,False,False,False,True,True,True
1346,21st Century Partnership,Community Partner,Business & Economic Development,Houston,Houston,31095,True,False,False,False,False,True,True
1357,United Way of Central Georgia,Basic Membership,Non-Profit Organizations,Bibb,Bibb,31201,True,False,False,False,True,True,True
1367,Vineville United Methodist Church,Basic Membership,Places of Worship,Bibb,Bibb,31204,True,False,False,True,True,True,False
1381,"FOX 24/ABC16 WGXA - Sinclair Communications, LLC",Business Catalyst,Marketing & Media,Bibb,Bibb,31201,True,False,False,False,True,True,True
1382,13 WMAZ - TV,Community Advocate,Marketing & Media,Bibb,Bibb,31211,True,False,False,False,True,True,True
1384,WMGT 41NBC,Business Catalyst,Marketing & Media,Bibb,Bibb,31201,True,True,False,False,True,True,True
1388,Oakbridge Insurance Agency,Economic Driver,Insurance,Bibb,Bibb,31201,True,False,False,False,True,True,True
1389,"John R. Walker, Inc.",Basic Membership,Construction & Building Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
